combination;pvalue;statistic 
fasttext birch+gmm Silhouette Score;0,0625;0,0
fasttext birch+gmm ARI Score;0,1875;2,0
fasttext birch+gmm Dunn Index;0,4375;4,0
fasttext birch+gmm DB Score;0,0625;0,0
fasttext birch+kmeans Silhouette Score;0,0625;0,0
fasttext birch+kmeans ARI Score;0,3125;3,0
fasttext birch+kmeans Dunn Index;0,0625;0,0
fasttext birch+kmeans DB Score;0,0625;0,0
fasttext birch+spectral Silhouette Score;0,0625;0,0
fasttext birch+spectral ARI Score;0,3125;3,0
fasttext birch+spectral Dunn Index;0,0625;0,0
fasttext birch+spectral DB Score;0,125;1,0
fasttext gmm+birch Silhouette Score;0,0625;0,0
fasttext gmm+birch ARI Score;0,1875;2,0
fasttext gmm+birch Dunn Index;0,4375;4,0
fasttext gmm+birch DB Score;0,0625;0,0
fasttext gmm+kmeans Silhouette Score;0,0625;0,0
fasttext gmm+kmeans ARI Score;0,625;5,0
fasttext gmm+kmeans Dunn Index;0,125;1,0
fasttext gmm+kmeans DB Score;0,0625;0,0
fasttext gmm+spectral Silhouette Score;0,0625;0,0
fasttext gmm+spectral ARI Score;0,3125;3,0
fasttext gmm+spectral Dunn Index;0,0625;0,0
fasttext gmm+spectral DB Score;0,0625;0,0
fasttext kmeans+birch Silhouette Score;0,0625;0,0
fasttext kmeans+birch ARI Score;0,3125;3,0
fasttext kmeans+birch Dunn Index;0,0625;0,0
fasttext kmeans+birch DB Score;0,0625;0,0
fasttext kmeans+gmm Silhouette Score;0,0625;0,0
fasttext kmeans+gmm ARI Score;0,625;5,0
fasttext kmeans+gmm Dunn Index;0,125;1,0
fasttext kmeans+gmm DB Score;0,0625;0,0
fasttext kmeans+spectral Silhouette Score;0,0625;0,0
fasttext kmeans+spectral ARI Score;1,0;7,0
fasttext kmeans+spectral Dunn Index;0,8125;6,0
fasttext kmeans+spectral DB Score;0,0625;0,0
fasttext spectral+birch Silhouette Score;0,0625;0,0
fasttext spectral+birch ARI Score;0,3125;3,0
fasttext spectral+birch Dunn Index;0,0625;0,0
fasttext spectral+birch DB Score;0,125;1,0
fasttext spectral+gmm Silhouette Score;0,0625;0,0
fasttext spectral+gmm ARI Score;0,3125;3,0
fasttext spectral+gmm Dunn Index;0,0625;0,0
fasttext spectral+gmm DB Score;0,0625;0,0
fasttext spectral+kmeans Silhouette Score;0,0625;0,0
fasttext spectral+kmeans ARI Score;1,0;7,0
fasttext spectral+kmeans Dunn Index;0,8125;6,0
fasttext spectral+kmeans DB Score;0,0625;0,0
glove birch+gmm Silhouette Score;0,0625;0,0
glove birch+gmm ARI Score;0,0625;0,0
glove birch+gmm Dunn Index;0,0625;0,0
glove birch+gmm DB Score;0,0625;0,0
glove birch+kmeans Silhouette Score;0,0625;0,0
glove birch+kmeans ARI Score;0,0625;0,0
glove birch+kmeans Dunn Index;0,0625;0,0
glove birch+kmeans DB Score;0,0625;0,0
glove birch+spectral Silhouette Score;0,1875;2,0
glove birch+spectral ARI Score;0,0625;0,0
glove birch+spectral Dunn Index;0,0625;0,0
glove birch+spectral DB Score;0,0625;0,0
glove gmm+birch Silhouette Score;0,0625;0,0
glove gmm+birch ARI Score;0,0625;0,0
glove gmm+birch Dunn Index;0,0625;0,0
glove gmm+birch DB Score;0,0625;0,0
glove gmm+kmeans Silhouette Score;0,0625;0,0
glove gmm+kmeans ARI Score;0,0625;0,0
glove gmm+kmeans Dunn Index;0,0625;0,0
glove gmm+kmeans DB Score;0,0625;0,0
glove gmm+spectral Silhouette Score;0,0625;0,0
glove gmm+spectral ARI Score;0,0625;0,0
glove gmm+spectral Dunn Index;0,0625;0,0
glove gmm+spectral DB Score;0,0625;0,0
glove kmeans+birch Silhouette Score;0,0625;0,0
glove kmeans+birch ARI Score;0,0625;0,0
glove kmeans+birch Dunn Index;0,0625;0,0
glove kmeans+birch DB Score;0,0625;0,0
glove kmeans+gmm Silhouette Score;0,0625;0,0
glove kmeans+gmm ARI Score;0,0625;0,0
glove kmeans+gmm Dunn Index;0,0625;0,0
glove kmeans+gmm DB Score;0,0625;0,0
glove kmeans+spectral Silhouette Score;0,0625;0,0
glove kmeans+spectral ARI Score;0,0625;0,0
glove kmeans+spectral Dunn Index;0,0625;0,0
glove kmeans+spectral DB Score;0,0625;0,0
glove spectral+birch Silhouette Score;0,1875;2,0
glove spectral+birch ARI Score;0,0625;0,0
glove spectral+birch Dunn Index;0,0625;0,0
glove spectral+birch DB Score;0,0625;0,0
glove spectral+gmm Silhouette Score;0,0625;0,0
glove spectral+gmm ARI Score;0,0625;0,0
glove spectral+gmm Dunn Index;0,0625;0,0
glove spectral+gmm DB Score;0,0625;0,0
glove spectral+kmeans Silhouette Score;0,0625;0,0
glove spectral+kmeans ARI Score;0,0625;0,0
glove spectral+kmeans Dunn Index;0,0625;0,0
glove spectral+kmeans DB Score;0,0625;0,0
word2vec birch+gmm Silhouette Score;0,0625;0,0
word2vec birch+gmm ARI Score;0,0625;0,0
word2vec birch+gmm Dunn Index;0,125;1,0
word2vec birch+gmm DB Score;0,0625;0,0
word2vec birch+kmeans Silhouette Score;0,125;1,0
word2vec birch+kmeans ARI Score;0,0625;0,0
word2vec birch+kmeans Dunn Index;0,0625;0,0
word2vec birch+kmeans DB Score;0,625;5,0
word2vec birch+spectral Silhouette Score;0,0625;0,0
word2vec birch+spectral ARI Score;0,0625;0,0
word2vec birch+spectral Dunn Index;0,0625;0,0
word2vec birch+spectral DB Score;0,3125;3,0
word2vec gmm+birch Silhouette Score;0,0625;0,0
word2vec gmm+birch ARI Score;0,0625;0,0
word2vec gmm+birch Dunn Index;0,125;1,0
word2vec gmm+birch DB Score;0,0625;0,0
word2vec gmm+kmeans Silhouette Score;0,0625;0,0
word2vec gmm+kmeans ARI Score;0,3125;3,0
word2vec gmm+kmeans Dunn Index;0,3125;3,0
word2vec gmm+kmeans DB Score;0,0625;0,0
word2vec gmm+spectral Silhouette Score;0,0625;0,0
word2vec gmm+spectral ARI Score;0,0625;0,0
word2vec gmm+spectral Dunn Index;0,0625;0,0
word2vec gmm+spectral DB Score;0,0625;0,0
word2vec kmeans+birch Silhouette Score;0,125;1,0
word2vec kmeans+birch ARI Score;0,0625;0,0
word2vec kmeans+birch Dunn Index;0,0625;0,0
word2vec kmeans+birch DB Score;0,625;5,0
word2vec kmeans+gmm Silhouette Score;0,0625;0,0
word2vec kmeans+gmm ARI Score;0,3125;3,0
word2vec kmeans+gmm Dunn Index;0,3125;3,0
word2vec kmeans+gmm DB Score;0,0625;0,0
word2vec kmeans+spectral Silhouette Score;0,0625;0,0
word2vec kmeans+spectral ARI Score;0,3125;3,0
word2vec kmeans+spectral Dunn Index;0,3125;3,0
word2vec kmeans+spectral DB Score;0,0625;0,0
word2vec spectral+birch Silhouette Score;0,0625;0,0
word2vec spectral+birch ARI Score;0,0625;0,0
word2vec spectral+birch Dunn Index;0,0625;0,0
word2vec spectral+birch DB Score;0,3125;3,0
word2vec spectral+gmm Silhouette Score;0,0625;0,0
word2vec spectral+gmm ARI Score;0,0625;0,0
word2vec spectral+gmm Dunn Index;0,0625;0,0
word2vec spectral+gmm DB Score;0,0625;0,0
word2vec spectral+kmeans Silhouette Score;0,0625;0,0
word2vec spectral+kmeans ARI Score;0,3125;3,0
word2vec spectral+kmeans Dunn Index;0,3125;3,0
word2vec spectral+kmeans DB Score;0,0625;0,0
